Câu hỏi ,Trả lời,Pattern
Học phần GDQP có quan trọng và bắt buộc không?,"GDQP là một học phần bắt buộc trong chương trình. Kết thúc khóa học Sinh viên sẽ được cấp chứng chỉ. Sinh viên liên hệ phòng Đào tạo đê nhận chứng chỉ đó, lưu ý nhận theo kế hoạch và theo lớp, chứ không liên hệ rải rác.",
Sinh viên có ĐTB học kỳ 1 là 0.0 có bị buộc thôi học không? ,"Xét buộc thôi học căn cứ Điều 16 Hướng dẫn 125 của trường về thực hiện Quy chế 43 của Bộ GD&ĐT. Theo đó, nếu em bị điểm 0.0 các học phần ở học kỳ 1, em sẽ có tên trong danh sách cảnh báo học vụ. Xét buộc thôi học sẽ tiến hành vào cuối học kỳ 3, tính dựa trên ĐTB năm học. Do đó, ĐTB học kỳ 1 của em sẽ ảnh hưởng rất lớn đến ĐTB năm học và có nguy cơ em bị buộc thôi học. Nếu trong học kỳ 1 em gặp điều kiện trở ngại nào đó mà không thể đi thi được thì em có thể làm đơn xin nhận điểm I hoặc xin tạm dừng học (điểm RT). Điểm này không tính vào điểm TB học kỳ nên sẽ không ảnh hưởng đến kết quả học tập cả năm của em. Tuy nhiên khi dự thi trả điểm I thì điểm sẽ nhập vào điểm học kỳ đó. Lúc đó sẽ ảnh hưởng ĐTB năm học.",
"em đang học ngành CNKT Máy tính (ngành này không sư phạm). Vậy sang năm 2, em có thể đăng ký thêm ngành Sư phạm CNTT có được không? ","Từ học kỳ 2 của năm nhất, em đã có thể đăng ký học ngành 2 (hay nói khác hơn là học cùng lúc 2 chương trình đào tạo). Em xem thêm điều kiện học ngành 2 bên Mục thông tin học vụ. Việc em đăng ký học ngành Sư phạm CNTT là được, nhưng khác với các bạn đang học ngành Sư phạm chính thức được miễn học phí, em phải đóng học phí cho ngành 2 theo qui định của trường.",
Chứng chỉ ngoại ngữ quốc tế nào được miễn học và chuyển điểm Anh văn? ,"Viện Khảo thí giáo dục Hoa kỳ: Educational Testing Service (ETS) hoặc đơn vị do ETS ủy nhiệm (đối với các chứng chỉ TOEIC, TOEFL ITP, TOEFL iBT);British Council, IDP Education Australia (đối với chứng chỉ IELTS);Cambridge ESOL (đối với chứng chỉ BULATS);Điểm chuyển đổi cho các học phần Anh văn được quy đổi theo Quy định 22 (Sinh viên tham khảo bên Thông tin học vụ).",
"Trong chương trình học có 5 môn tự chọn, yêu cầu học 2 môn. Giả sử em rớt em có thể chọn môn khác không? ",chương trình của em yêu cầu học 2 môn tự chọn trong 5 môn. Nếu em đăng ký 2 môn bất kỳ và thi không đạt môn nào đó thì em có thể đăng ký 1 môn tự chọn khác trong 5 môn học trên,
"Môn học em thi rớt nhưng học kỳ này không mở lớp học lại, Em muốn đăng ký học để kịp ra trường thì em phải làm sao? ","Em có thể đăng ký môn học tương đương đã được cập nhật trong chương trình đào tạo của em. Nếu vẫn không mở lớp môn tương đương, em xin ý kiến Khoa để học môn thay thế. Nếu có môn thay thế thì em làm đơn thay thế (mẫu đơn nhận tại Phòng Đào tạo hoặc tải trên trang web PĐT), sau khi được Khoa ký duyệt, em nộp đơn tại PĐT. Sau vài ngày em nhận đơn, nếu được sự đồng ý của PĐT thì em đăng ký môn học này thay thế cho môn học rớt",
Em đã thi đạt tất cả các môn học giáo dục quốc phòng nhưng trong danh sách nhận chứng chỉ quốc phòng không có tên em.,Thông thường trường hợp của em là do em có thi lại hoặc học lại một học phần GDQP nào đó ở học kỳ khác không theo lớp ban đầu. Em nên liên hệ với Khoa quản SV hoặc PĐT để được giải quyết. Khoa hoặc PĐT sẽ liên hệ với Trung tâm GDQP để hỏi nguyên nhân và đề nghị cấp bổ sung cho em. Thủ tục và thời gian sẽ báo cho em để em được biết,
Điểm Giáo dục quốc phòng và thể chất có tính vào điểm trung bình không? ,Điểm Giáo dục quốc phòng và Giáo dục thể chất không tính vào điểm trung bình chung cũng như số tín chỉ tích lũy. Sinh viên có thể làm đơn miễn thi nộp Phòng Đào tạo nếu sinh viên đã có chứng chỉ hoàn tất ở một trường đại học khác. ,
Điểm giảng viên công bố trên lớp và điểm trong bảng điểm không khớp nhau ,Sinh viên liên hệ Giảng viên hoặc thư ký Khoa để xem lại bảng điểm gốc Giảng viên nộp. Phòng Đào tạo và Khoa sẽ phối hợp để giải quyết khiếu nại điểm cho sinh viên,
Điểm học phần là 6.75 có làm tròn thành 6.8 ,Điểm học phần làm tròn 01 chữ số thập phân nên điểm học phần là 6.75 được làm tròn là 6.8,
SV học không đủ số tín chỉ có phải học thêm môn học khác để được tốt nghiệp không? ,"Các chương trình đạo tạo của các khóa sau thường có thay đổi so với khóa trước. Những môn học sinh viên chưa đạt có thể học tương đương với các môn học của khóa sau, có thể khác mã môn học, tên môn học và số tín chỉ (thường ít hơn). Tuy nhiên số tín chỉ ít hơn không yêu cầu sinh viên phải học bổ sung môn học khác. Do đó nếu sinh viên không tín lũy đủ số tín chỉ nhưng tín lũy đủ số môn học trong chương trình đào tạo thì đủ điều kiện tốt nghiệp. ",
Việc học cải thiện có ảnh hưởng đến xếp loại tốt nghiệp không? ,Theo điều kiện xét tốt nghiệp thì chỉ có sinh viên xếp loại xuất sắc hoặc giỏi bị hạ bậc nếu số tín chỉ học lại vượt quá 5% tổng số tín chỉ của chương trình đào tạo ngành học đó. Việc học cải thiện không phải là học lại nên không tính vào trường hợp trên. Sinh viên không hạn chế học cải thiện,
Xếp loại tốt nghiệp khá có bị hạ bậc không? ,"Theo điều 28 hướng dẫn của trường về thực hiện Qui chế 43 của Bộ GD&ĐT, chỉ hạ bậc sinh viên tốt nghiệp loại xuất sắc và giỏi, nên tốt nghiệp loại khá không bị ảnh hưởng.  ",
Xét tốt nghiệp loại khá có bị hạn chề về điều gì không? chẳng hạn như rới môn học,Chỉ có sinh viên tốt nghiệp loại giỏi thì có thể bị hạ bậc xuống loại khá nếu số tín chỉ các môn học rớt vượt quá 5% tổng số tín chỉ của ngành. Các xếp loại khác không bị ảnh hưởng,
Em vừa hoàn tất chương trình học có được cấp giấy chứng nhận tốt nghiệp tạm thời? ,"Khi sinh viên có đầy đủ điểm học kỳ và đã hoàn tất chương trình học, Sinh viên có thể làm đơn xin xác nhận đã ""Hoàn tất chương trình học"" và nộp tại Phòng Đào tạo để được xác nhận. Việc xét tốt nghiệp sẽ tiến hành định kỳ vào tháng 3, 9. Những trường hợp môn học kết thúc và có điểm sớm trong học kỳ, xét tốt nghiệp sẽ tiến hành vào tháng 6, 12. Giấy chứng nhận tốt nghiệp tạm thời sẽ phát sau ngày họp xét tốt nghiệp là 3 tuần. Sinh viên xem thông báo trên trang web Phòng Đào tạo để biết địa điểm và thời gian nhận",
Sinh viên có được tham gia nghiên cứu khoa học không? ,Sinh viên năm 2 bắt đầu được tham gia nghiên cứu khoa học hoặc tham gia học cách nghiên cứu khoa học của các nhóm nghiên cứu của sinh viên năm cuối để từ đó hình thành ý tưởng cũng như cách thực hiện một đề tài nghiên cứu khoa học,
Sinh viên cần đáp ứng điều gì để tham gia nghiên cứu khoa học?,"Sinh viên cần có niềm đam mê với ngành nghề, đam mê nghiên cứu khoa học và học lực phải đảm bảo loại khá trở lên để việc nghiên cứu khoa học không ảnh hưởng đến kết quả học tập",
"Em muốn tìm việc làm thêm, Trung tâm dịch vụ sinh viên có hỗ trợ được không.?","Trung tâm dịch vụ sinh viên luôn tìm kiếm và giới thiệu việc làm thêm cho các bạn SV miễn phí. Các bạn có thể đăng kí thông tin tại trung tâm hoặc theo dõi thông tin việc làm thêm trên trang Web, Facebook của Trung tâm để có công việc phù hợp cho bạn nhằm có thêm kinh phí đồng thời rèn kỹ năng thực tế.Web site : http://ssc.hcmute.edu.vn/, Facebook: https://www.facebook.com/ttdichvusinhvien",
Em là sinh viên năm nhất vậy em có thể đi làm được không? Nếu đi làm có ảnh hưởng gì nhiều đến kết quả học tập của em không?,"Bạn là sinh viên năm đầu mới vào có thể chưa quen với môi trường học tập mới ở bậc Đại Học, bạn nên dành thời gian để tìm hiểu môi trường mới, tham gia các câu lạc bộ, đội nhóm trong trường để rút ra kinh nghiện từ các anh chị những năm trước. Bạn đi làm để học hỏi thêm kinh nghiệm hoặc để trang trải việc học khi thật sự cần, bạn nên sắp xếp thời gian biểu hợp lý. Tốt nhất nên bắt đầu đi làm vào học kỳ II sau khi đã có thời gian biểu cụ thể. Bạn nhớ ưu tiên việc học là trên hết nhé",
Em là sinh viên năm nhất em nuốn đi làm thêm nhưng không biết đi làm vào thời gian nào là phù hợp?,"Thông thường đối với sinh viên năm nhất, học kỳ I các bạn sẽ học theo chương trình của nhà trường giao cho. Số tín chỉ trung bình thường từ 20-25 tín chỉ tùy theo nghành học do đó thời gian phân bố lịch học cố định và không tập trung. Nếu bạn có thời gian rảnh ngoài TKB có thể liên hệ TTDVSV để kiếm việc làm. Ngoài ra bạn có thể làm trong các dịp nghỉ lễ, nghỉ Tết, hè là thích hợp nhất.",
Cách sắp xếp thời gian học và đi làm để không ảnh hưởng việc học?,Lý tưởng là: Bạn có thể sắp xếp tất cả lịch học vào buổi sáng để buổi chiều có thể làm thêm và tối có thời gian học bài. Thực tế thì rất khó. Bạn nên tìm công việc phù hợp với thời gian của mình. Không nên làm quá 8 – 10 tiếng/tuần. Có thể kết hợp với một bạn khác để cùng chia sẻ công việc nếu doanh nghiệp yêu cầu làm quá thời gian trên. Việc đi làm cũng có thêm kinh phí và kinh nghiệm thực tế nhưng nếu dành nhiều thời gian cho việc đi làm thì không thể đảm bảo việc học tốt,
Em là sinh viên bạn muốn đi làm thêm vậy công việc nào là phù hợp với em?,"Làm gia sư.Phát tờ rơi.Phục vụ.Nhân viên bán hàng.Nhân viên thanh toán tiền.Nhân viên tạp vụ.Quảng cáo sản phẩm.Hiện nay trong trường có một số công việc phù hợp với các bạn, các bạn nên tìm hiểu tham gia: tư vấn, trợ lý giảng dạy, vệ sinh môi trường, lễ tân, nhập liệu,…",
Điều kiện để được làm khóa luận tốt nghiệp.,"Hằng năm, Khoa sẽ chọn các sinh viên đủ điều kiện làm khóa luận tốt nghiệp dựa trên điểm trung bình tích lũy và số tín chỉ tích lũy. Điều kiện sẽ thay đổi hàng năm tùy theo số lượng sinh viên và số lượng giảng viên.",
Đa số các SV đi thực tập đều thuộc ngành CNPM. Môi trường thực tập của ngành mạng như thế nào? ,"Khoa có thông tin về các công ty chuyên về giải pháp mạng cũng như các doanh nghiệp, ngân hàng cần SV thực tập về mạng. Sinh viên nên theo dõi các thông tin thực tập để đăng ký.",
SV hệ sư phạm có phải đăng ký chuyên ngành hay không?,SV hệ sư phạm không phân chuyên ngành.,
Cách thức đăng ký chuyên ngành như thế nào? ,SV sẽ đăng ký chuyên ngành qua website của Khoa. Khoa sẽ thông báo thời gian cụ thể sau. Mọi SV học đến học kỳ 6 đều được  đăng ký chuyên ngành,
Tại sao khoa không mở khóa luận mỗi kỳ một lần để tạo điều kiện cho sinh viên làm khóa luận tốt nghiệp?,"Dựa trên chương trình đào tạo và tình hình thực tế, mỗi năm khoa chỉ xét làm luận văn 1 lần vào kì II. Mỗi khóa chỉ được xét 1 lần.",
Hiện tại là sinh viên hệ sư phạm Công Nghệ Thông Tin thì chương trình đào tạo có sự khác biệt gì với kỹ sư Công Nghệ Thông Tin.,"Chương trình đào tạo của hệ sư phạm không có khác biệt lớn so với hệ kỹ sư, đa phần là học chung, chỉ riêng có một số môn chuyên về sư phạm để các bạn tiến hành lấy chứng chỉ sư phạm. Khi ra trường các bạn có thể giảng dạy tại các trường Trung Cấp Chuyên Nghiệp và Cao Đẳng. Nếu giảng dạy ở bậc Đại Học cần lấy thêm chứng chỉ Lý Luận sau Đại Học và bằng Triết Học.",
Khoa có đào tạo sau đại học không?,"Hiện tại trong năm nay khoa đang tiến hành triển khai đào tạo sau đại học, khi nào có thông báo chính thức thì sẽ có nhữngđiều kiện rõ ràng cụ thể",
Nếu đã chọn chuyên ngành hệ thống thông tin mà lại chọn các môn học của ngành công nghệ phần mềm có được không?,"Bạn được phép chọn bất kỳ môn học nào của bất kỳ chuyên ngành nào để học. Tuy nhiên, do bạn đã chọn chuyên ngành HTTT nên chỉ những môn thuộc chuyên ngành này bạn mới được tín vào tín chỉ tích lũy để xét tốt nghiệp. Do đó, bạn nên chọn các môn thuộc chuyên ngành HTTT để học. Và bạn cũng có thể chọn các môn thuộc chuyên ngành khác để bổ sung, nâng cao kiến thức",
"Theo chương trình mới, có nhiều môn chuyên đề trong chương trình đào tạo. SV có được lựa chọn học một chuyên đề mà SV thích hay không?","Trong chương trình đào tạo của chuyên ngành HTTT, có nhiều chuyên đề để SV chọn học. Tuy nhiên, thường do số lượng SV đăng ký chuyên ngành này không nhiều. Hơn nữa, điều này tùy thuộc vào bộ môn phân công GV. Nếu GV phải dạy môn chuyên đề mà mình phụ trách. Do vậy, sẽ có sự khác nhau giữa các học kỳ, cụ thể là, học kỳ này dạy môn chuyên ngành A nhưng học kỳ này năm sau có thể là môn B. Do vậy, các SV nên chú tâm và bố trí thời gian học cho phù hợp",
Một số SV không thể đăng ký được tiểu luận chuyên ngành vì tất cả các đề tài đã bị đăng ký hết trước đó.,"Các SV muốn đăng ký GV nào hướng dẫn thì có thể tự liên hệ với GV và đăng ký trước đó (trước khi công bố đăng ký trên web khoa). Do đó, khi công bố trên web site thì đã có tên các SV đăng ký đề tài với GV trước đó. Trong trường hợp bạn không đăng ký được đề tài vì đã hết đề tài đăng ký. Bạn liên hệ trực tiếp với Khoa để được giải quyết. Hoặc liên hệ với một GV nào đó và GV đó sẽ ra thêm đề tài cho bạn",
Mối quan hệ giữa chuyên ngành Mạng máy tính với các chuyên ngành khác như thế nào ?,"Hệ thống thông tin có thể chia làm 3 đối tượng con người là người dùng (user), người lập trình (programmer) và người triển khai (implementer). Người dùng đặt ra các yêu cầu của mình (vd: quản lý bán hàng, quản lý bệnh viện, quản lý nhân sự,…) và người lập trình sẽ thực hiện viết ra chương trình theo yêu cầu (vd viết chương trình quản lý bán hàng,…). ",
Chuyên Ngành Mạng máy tính khoa đào tạo những gì? ,"Hạ tầng mạng truyền dẫn: Xây dựng, tư vấn, phát triển, bảo trì hệ thống mạng truyền dẫn, mạng lõi cho các doanh nghiệp, các nhà cung cấp dịch vụ.Hạ tầng thông tin: Xây dựng, tư vấn, phát triển, bảo trì hệ thống thông tin trên hạ tầng truyền dẫn đã được xây dựng.Bảo mật hệ thống: Bảo vệ hệ thống, ngăn chặn tấn công, xâm nhâp, xây dựng, tư vấn, triển khai các chính sách bảo mật.Lập trình nhúng",
"Em rất thích an ninh mạng, khi học chuyên ngành Mạng máy tính, em có được học về lĩnh vực này hay không ?","Chuyên ngành Mạng máy tính của khoa đào tạo các mảng gồm Hạ tầng truyền dẫn, hạ tầng thông tin, Bảo mật hệ thống. Bình thường thì sau học các môn cơ sở ngành, các bạn sẽ định hướng theo hướng chuyên ngành mà mình thích. Tuy nhiên, tôi cũng hay nói với sinh viên của tôi là muốn học an ninh mạng tốt thì phải có một kiến thức về truyền dẫn và hệ thống thật tốt.",
"Em thích CNTT nhưng lập trình không được tốt. Các môn lập trình em chỉ đạt kết quả khá, em có thể học chuyên ngành Mạng máy tính hay không?","Thầy nghĩ quan trọng là đầu tiên em thích là được rồi, sau đó, em cố gắng thì sẽ thành công hơn thôi. Chuyên ngành Mạng máy tính đúng là không liên quan trực tiếp đến lập trình trừ mảng Lập trình nhúng. Ngành này liên quan nhiều đến xây dựng hạ tầng, vận hành và bảo vệ. Nhưng điều đó không có nghĩa là nó không đòi hỏi em phải có tư duy logic tốt, nhanh nhạy và chịu khó. Khi phát triển đến mức chuyên nghiệp, các kỹ sư mạng đều cần viết các chương trình quản lý tự động (scripting) để vận hành hệ thống. Do đó, thực sự thành công trong ngành này, em cũng cần kỹ năng lập trình",
Xin vui lòng cho em biết cơ hội việc làm khi em học xong chuyên ngành mạng?,"Em có thể làm trong các cơ quan, công ty, có hệ thống mạng, các ứng dụng riêng của mình như các ngân hàng, cơ quan báo chí, bệnh viện, trường học,… Ngoài ra, em có thể làm việc tại các cơ quan chuyên về mạng như cung cấp hạ tầng truyền dẫn (như FTP, VIETTEL, VDC, CMC…), hay các công ty tích hợp hệ thống – System Integration (như FTP, HPT, GreenNet, Sao Bắc Đẩu,…).",
Thu nhập của các anh chị tốt nghiệp ngành này như thế nào? ,"Các bạn tốt nghiệp mạng máy tính học về kỹ thuật sẽ có mức lương khá tốt khoảng 5-6 triệu/tháng. Sau khi đã có kinh nghiệp (1-2 năm), các bạn có thể đạt 7-10 triệu hoặc hơn. Một số trường hợp, các bạn chỉ sau hai năm đã đạt lương 20 triệu/tháng.",
"Có phải những môn CHUYÊN NGÀNH của hệ kỹ sư (Bảo mật web, Thiết kế phần mềm hướng đối tượng, Lập trình di động, Cơ sở dữ liệu phân tán,...) và những môn NGÀNH của hệ kỹ sư (Điện toán đám mây, Hệ thống nhúng,...) đều là những môn CNTT TỰ CHỌN của hệ sư phạm? Ví dụ: không học những môn NGÀNH (Điện toán đám mây, Hệ thống nhúng) mà thay vào đó học những môn CHUYÊN NGÀNH thì có được hay không?",Em được phép tự chọn các môn học cho mình. Em xem kỹ thêm trong file chương trình đào tạo trên web Khoa. Có quy định những môn em được chọn,
Chương trình đào tạo Anh văn Kỹ thuật kéo dài 4 năm hay 4 năm rưỡi?,"Chương trình đào tạo Anh văn Kỹ thuật kéo dài 4 năm và một học kỳ hè vào năm thứ 4. Trong học kỳ hè, SV học các môn tốt nghiệp và ôn tập và thi C1.",
Các môn Tiếng Anh chuyên ngành kỹ thuật gồm những môn nào? ,"Các môn Tiếng Anh chuyên ngành kỹ thuật gồm Anh văn chuyên ngành Công nghệ thông tin, Anh văn chuyên ngành Công nghệ Môi trường, Anh văn chuyên ngành Điện-Điện tử, Anh văn chuyên ngành Cơ khí, Anh văn chuyên ngành Thương mại (Tự chọn), Anh văn chuyên ngành thiết kế thời trang (Tự chọn), Anh văn chuyên ngành Dinh dưỡng và công nghệ thực phẩm (Tự chọn)",
Đối với các môn Tiếng Anh chuyên ngành thì có được đăng ký học song song cả tiếng Việt và tiếng Anh không?,"Theo chương trình đào tạo, các môn chuyên ngành tiếng Việt được học trước hoặc học song song với môn tương ứng bằng tiếng Anh.",
Những chứng chỉ quốc tế nào được chấp nhận quy đổi điểm quá trình cho một số môn học trong chương trình 150 TC?,Chứng chỉ IELTS và TOEFL iBT,
Những môn học nào được quy đổi điểm quá trình từ điểm thi quốc tế? ,"Những môn học nào được quy đổi điểm quá trình từ điểm thi quốc tế gồm Nghe-Nói, Đọc, Viết, Ngữ pháp và Luyện âm.",
Sinh viên năm thứ mấy thì phải thực tập sư phạm? ,Sinh viên năm thứ tư phải thực tập sư phạm vào học kỳ thứ 8.Thời gian kiến tập và thực tập kéo dài trong 8 tuần đầu của học kỳ thứ 8 (học kỳ 2 năm thứ tư).,
Khối lượng tín chỉ của thực tập sư phạm là bao nhiêu?,"Khối lượng tín chỉ của học phần thực tập sư phạm là 6 tín chỉ, trong đó kiến tập 1 tín chỉ và thực hành giảng dạy 5 tín chỉ.",
Các môn học để thực tập sư phạm là những môn nào?,"Sinh viên bắt buộc phải thực tập sư phạm các môn Anh văn không chuyên (anh văn 1, 2, 3), và Anh văn chuyên ngành kỹ thuật",
Sinh viên được thực tập sư phạm tại trường hay tại trường khác?,Sinh viên Khoa Ngoại Ngữ được thực tập Sư phạm tại trường.,
Sinh viên có được quyền tự chọn và liên hệ trường hoặc trung tâm ngoại ngữ để thực tập sư phạm không?,"Theo quy định hiện hành của Khoa Ngoại Ngữ, sinh viên phải thực tập sư phạm theo sự sắp xếp bố trí của khoa",
Chứng chỉ IELTS có thể xét tương đương với trình độ C1 khi xét tốt nghiệp không?,"Chứng chỉ IELTS được xét tương đương với trình độ C1 khi xét tốt nghiệp.Chứng chỉ C1 này là một trong các điều kiện cấp bằng tốt nghiệp, nhưng không có tính chất tương đương với chứng chỉ quốc tế, không quy đổi điểm tương đương với chứng chỉ IELTS được.",
Nếu không có chứng chỉ C1 hoặc IELTS 7.0 thì có được ra trường không?,chứng chỉ C1 hoặc IELTS 5.0 là một trong các điều kiện cần thiết để được tốt nghiệp ra trường.,
"Sinh viên đăng ký học phần Anh văn 1 nhưng học không đạt thì có thể đăng ký học phần Anh văn 2, Anh văn 3 không?",Không. Sinh viên phải đăng ký học và đạt kết quả đậu học phần Anh văn 1 mới được đăng ký học phần Anh văn 2. Tương tự với học phần anh văn 2 và 3,
"Nếu sinh viên có chứng chỉ ngoại ngữ quốc tế thì có được miễn và chuyển điểm các học phần Anh văn 1, 2, 3 không?","Có. Sinh viên có chứng chỉ ngoại ngữ quốc tế còn trong hiệu lực (2 năm kể từ ngày cấp chứng chỉ) do các tổ chức khảo thí được nhà trường công nhận cấp thì được xem xét chuyển điểm, miễn thi các học phần anh văn 1, 2, 3, miễn thi sát hạch TOEIC tại từng thời điểm xem xét. Thời điểm xem xét là thời điểm trước khi diễn ra các lớp Anh văn hoặc kỳ thì sát hạch.",
"Các chứng chỉ ngoại ngữ quốc tế nào có thể được xét chuyển điểm cho các học phần Anh văn 1, 2, 3?","Các chứng chỉ ngoại ngữ sau có thể được xem xét chuyển điểm và miễn thi các học phần ngoại ngữ: TOEIC, TOEFL ITP, TOEFL iBT, IELTS, BULATS",
"Chứng chỉ ngoại ngữ quốc tế của tổ chức khảo thí nào được Nhà trường công nhận để xét miễn và chuyển điểm các học phần Anh văn 1, 2, 3?","Viện Khảo thí giáo dục Hoa kỳ - Educational Testing Viện service (ETS) hoặc đơn vị được ETS ủy nhiệm (đối với các chứng chỉ TOEIC, TOEFL ITP, TOEFL iBT);British Council, IDP Education Australia (đối với chứng chỉ IELTS);Cambridge ESOL (đối với chứng chỉ BULATS);",
"Sau khi hoàn tất các học phần Anh văn 1, 2, 3, sinh viên có phải thi sát hạch không?","Có. Sau khi hoàn thành học phần AV3 đến trước thời điểm xét tốt nghiệp (XTN), sinh viên được phép chọn lựa đăng ký học các lớp tiếng Anh tăng cường 3 để được trang bị các kỹ năng thi TOEIC. Sau đó tất cả sinh viên phải tham gia một kỳ thi sát hạch (dạng bài thi TOEIC) do Trường tổ chức để đảm bảo đạt chuẩn đầu ra ngoại ngữ theo quy định về điều kiện tốt nghiệp đã ban hành",
Nếu sinh viên có chứng chỉ ngoại ngữ quốc tế đạt chuẩn đầu ra tiếng Anh thì có được miễn kỳ thi sát hạch không?,"Trường hợp sinh viên có Chứng chỉ Ngoại ngữ (CCNN) Quốc tế, căn cứ vào điểm của CCNN có thể được xem xét miễn thi sát hạch TOEIC. Thời điểm xem xét là thời điểm trước khi diễn ra kỳ thi sát hạch. CCNN phải có giá trị tại thời điểm xem xét miễn thi (trong vòng 2 năm kể từ ngày cấp chứng chỉ và theo quy định ở phần quy định về quy trình). Trình độ tiếng Anh được xem xét theo quy định của Nhà trường: tương đương 450 điểm TOEIC đối với khóa 2012, 2013 và tương đương 500 điểm TOEIC đối với khóa 2014 trở về sau",
Sinh viên ngành  CN Điện Tự Động phải đạt tối thiểu bao nhiêu tín chỉ thì mới được xét làm đồ án tốt nghiệp?,"Số lượng tín chỉ tích lũy không cố định trong từng học kỳ, điều này tùy thuộc vào số lượng giảng viên tham gia hướng dẫn và số sinh viên của học kỳ đó. Thông thường thì số tín chỉ tích lũy để được làm đề tài tốt nghiệp bằng tổng số tín chỉ trong chương trình học trừ đi số tín chỉ của học kỳ cuối và dao động từ 5 đến 10%.",
Làm sao để sử dụng được Learning Peason?,"Xem hướng dẫn trên website BM ĐTCN, nếu vẫn không sử dụng được thì liên hệ theo địa chỉ email kèm theo để được hướng dẫn.",
Sinh viên ngành CN Điện tự động có thể tự xin đi thực tập tốt nghiệp nhà máy vào học kỳ hè trước học kỳ chính thức được không,Nếu sinh viên muốn đi thực tập tốt nghiệp vào học kỳ hè và  đã liên hệ được với công ty thì có thể gặp Trưởng hoặc Phó Bộ môn Tự Động Điều Khiển để xin giấy giới thiệu. Sau khi thực tập xong thì nộp lại báo cáo thực tập có xác nhận của công ty để Bộ môn xác nhận. SV giữ lại giấy xác nhận để kỳ sau nộp lại cho GV được phân công phụ trách,
Học xong ngành CN Điện tự động thì có thể làm những việc gì trong nhà máy?,"SV sau khi tốt nghiệp ngành CN Điện tự động thì có thể làm việc ở các vị trí: Vận hành và bảo trì các dây chuyền sản xuất; Thiết kế chương trình điều khiển cho các hệ thống điều khiển tự động.Ngoài ra, SV có thể làm việc cho các công ty mua bán thiết bị (sale) và dịch vụ về các hệ thống điều khiển tự động",
Sinh viên ngành CN Điện Tự Động có thi tốt nghiệp để ra trường không?,"Hiện nay, chủ trương của bộ môn các sinh viên ngành CNKTĐK và Tự động hóa đều phải thực hiện đồ án tốt nghiệp để cũng cố lại kiến thức, nâng cao kỹ năng nghề nghiệp, kinh nghiệm để khi ra trường có thể làm việc được ngay. Tuy nhiên nếu sinh viên có nguyện vọng được thi để ra trường đúng tiến độ thì sinh viên có thể làm thủ tục mở lớp như các môn học bình thường và nếu đảm bảo đủ sỉ số theo yêu cầu của nhà trường thì bộ môn sẽ mở lớp cho sinh viên học tốt nghiệp.",
"Sinh viên học ngành công nghệ kỹ thuật Điện-Điện Tử (Điện công nghiệp) muốn về làm công tác ở các công ty điện lực, các nhà máy điện, trạm biến áp thì phải học và bổ sung những môn học và kiến thức gì?","Các em nên học chuyên sâu hơn các kiến thức về: Máy điện, an toàn điện, Hệ thống điện, Cung cấp điện, hệ thống thu thập dữ liệu và điều khiển, CAD trong kỹ thuật điện nâng cao, giải tích mạng điện và mô phỏng trên máy tính,  Ngoài ra, các em có thể tìm hiểu thêm các thông tin: Quy phạm trang  bị điện, Quy trình kỹ thuật an toàn điện, Luật điện lực 2012, thông tư 32 BCT,.... http://dien-congnghiep.com/tai-lieu-ky-thuat.html; http://dien-congnghiep.com/ho-tro-ky-thuat.html",
Một số công ty tuyển dụng sinh viên chuyên ngành Kỹ thuật dữ liệu là gì?,"Về lĩnh vực dữ liệu : Datalogic, DataSystem, Sonion, Renesas, National Instrument, FPT software",
"Chúng em học ngành CN Kỹ thuật điện tử truyền thông năm 3, muốn chuẩn bị làm đồ án tốt nghiệp trước, vậy chúng em có thể liên hệ với thầy cô nào để đăng ký đề tài?","Thông thường, đầu HK cuối cùng SV sẽ được Bộ môn chọn làm ĐATN theo điểm số tích lũy. Tuy nhiên, SV có thể chuẩn bị trước 1 HK để có thời gian và đề tài đạt chất lượng tốt hơn. Ngoài ra SV có thể gặp trực tiếp GV giảng dạy theo chuyên  ngành mình yêu thích để đăng ký đề tài. Những trường hợp này SV nên gặp trực tiếp Trưởng Bộ môn để xin ý kiến trước khi gặp GV",
Chúng em có được chọn học các môn tự chọn không?,"SV ngành CN Kỹ thuật điện tử truyền thông có 10TC tự chọn (5 môn), trong đó 6TC chọn chung giữa Điện tử viễn thông và Điện tử công nghiệp, 4TC chọn riêng. Về lý thuyết, SV có thể chọn tùy ý các môn tự chọn trong nhóm môn học tự chọn Khoa đưa ra. Tuy nhiên, nếu số lượng SV chọn 1 môn ít quá (thường <20SV) thì Phòng ĐT sẽ hủy lớp",
"chương trình 150 tín chỉ, em còn nợ môn Điện tử cơ bản 2 (3TC) thì phải học môn nào thay thế?",Môn học thay thế là Điện tử cơ bản (4TC).Danh sách các môn học tương đương bộ môn đã gửi lên PĐT cập nhật. Em có thể tham khảo danh sách môn tương đương ờ VP Khoa/Đội Ngũ Tư Vấn Viên/Trưởng BM/Web Site Khoa,
Sinh viên học chưa đậu môn mạch điện 1 & 2 sẽ học thay thế như thế nào trong chương trình mới 150TC,Những SV chưa đậu môn mạch điện 1&2 có thể học tương đương bằng môn Mach Điện 4 TC trong chương trình mới 150 TC.,
